ABESID	IDP
ABESIBK75C99Y	https://ciboulette.abes.fr/idp/shibboleth
ABESCVAGAJ4OT	https://idp2.amue.fr/idp/shibboleth
ABESHOK8EU6BY	https://idp-agrocampus-ouest.renater.fr/idp/shibboleth
ABES3LTHOA8R4	https://idp1.agroparistech.fr/idp/shibboleth
ABES5Y4FY8HVP	https://auth.agrosupdijon.fr/idp/shibboleth
ABESCWN7PF5JA	https://idpv3.univ-amu.fr/idp/shibboleth
ABESYO1DG65P4	https://idp.ensam.eu/idp/shibboleth
ABESGBN2TDFYS	http://adfs.devinci.fr/adfs/services/trust
ABES3ON817CVS	https://sts.windows.net/7a879e87-03b2-441a-a2e3-3bbdc5b62f1f/
ABESECQDVK6WK	https://idp.bnu.fr/idp/shibboleth
ABES3I3GGVFRC	https://idp.inalco.fr/idp/shibboleth
ABESEZKCHDH7A	https://sso.bordeaux-inp.fr/idp/shibboleth
ABESGFH4L014Z	https://idp.enitab.fr/idp/shibboleth
ABESUNZE6OP4J	https://baragwin.brest-bs.com/idp/shibboleth
ABES6SYA537TM	https://idp2.brgm.fr/idp/shibboleth
ABES4HM3PZ1H2	https://sso-ciation-saclay.centralesupelec.fr/idp/shibboleth
ABESBLYJJ228V	https://idp.chru-lille.fr/idp/shibboleth
ABES8Y6G8TF3V	https://idp.chu-rouen.fr/idp/
ABESA4IMO9XD4	https://idp4.cereq.fr/idp/shibboleth
ABESJEZ1M53IE	https://idp.cirad.fr/idp/shibboleth
ABESI7U3KFDEC	https://janus.cnrs.fr/idp
ABES8N85OU6ZV	https://idp.college-de-france.fr/idp/shibboleth
ABES6P53K85WW	https://i-id.cea.fr/fed
ABESAXC2B5AHV	https://idp.lecnam.net/idp/shibboleth
ABESFKVDJ5H74	https://idp.u-cergy.fr/idp/shibboleth
ABESC4H2J2721	https://idp.centralelille.fr/idp/shibboleth
ABESHG96EY2CE	https://identites.ec-lyon.fr/idp/shibboleth
ABESAMW6TFAW6	https://idp.ec-nantes.fr/idp/shibboleth
ABES6DKG5G4LJ	https://auth.centrale-marseille.fr/idp/shibboleth
ABESF3W7K58XF	https://idp3.marnelavallee.archi.fr/idp/shibboleth
ABESA9IDNH3UQ	https://idp-ecole-air.renater.fr/idp/shibboleth 
ABESJMFIOBGZQ	https://sts.windows.net/dffef3d7-143e-41ed-815d-9c383c48eb95/
ABES2Q3B9GCBG	https://idp.beauxartsnantes.fr/idp/shibboleth
ABES4PUETX3TK	https://shib3.mines-ales.fr/idp/shibboleth
ABESCOO3YT8Q1	https://idp-ecoledulouvre.renater.fr/idp/shibboleth
ABESH3BHR3H1O	https://idp.enib.fr/idp/shibboleth
ABESHUM1LF9RS	https://idp.enac.fr/idp/shibboleth
ABES9A82OP9SN	https://shibboleth03.chartes.psl.eu/idp/shibboleth
ABES6JO3UNFYV	https://idp.enpc.fr/saml/metadata
ABES5G7HGH3Z2	https://idp.rennes.archi.fr/idp/shibboleth
ABES3YS5HJ99Z	https://shibboleth.grenoble.archi.fr/idp
